id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,"192.168.1.20","00:1d:9c:c8:bc:46","00:1d:9c",44818,"192.168.1.100","00:1d:9c:c6:72:e8","00:1d:9c",49400,6,4,1,0,1575597904376,1575597907123,2747,36,4917,1575597904376,1575597907123,2747,21,3411,1575597904412,1575597907106,2694,15,1506,"EthernetIP","Network",0,6,"","","","",""
1,0,"192.168.1.40","00:1d:9c:c7:fa:2c","00:1d:9c",44818,"192.168.1.50","00:1d:9c:c8:f4:b9","00:1d:9c",63084,6,4,0,0,1575597904377,1575597907147,2770,804,74460,1575597904377,1575597907147,2770,402,37708,1575597904377,1575597907147,2770,402,36752,"EthernetIP","Network",0,6,"","","","",""
2,0,"192.168.1.10","00:1d:9c:c8:bd:e7","00:1d:9c",56327,"192.168.1.50","00:1d:9c:c8:f4:b9","00:1d:9c",44818,6,4,1,0,1575597904379,1575597907148,2769,2174,201146,1575597904379,1575597907148,2769,1087,106118,1575597904379,1575597907148,2769,1087,95028,"EthernetIP","Network",0,6,"","","","",""
3,0,"192.168.1.50","00:1d:9c:c8:f4:b9","00:1d:9c",2222,"192.168.1.40","00:1d:9c:c7:fa:2c","00:1d:9c",2222,17,4,1,0,1575597904381,1575597907148,2767,549,49410,1575597904381,1575597907147,2766,274,24660,1575597904382,1575597907148,2766,275,24750,"EthernetIP","Network",0,6,"","","","",""
4,0,"192.168.1.50","00:1d:9c:c8:f4:b9","00:1d:9c",44818,"192.168.1.100","00:1d:9c:c6:72:e8","00:1d:9c",49875,6,4,0,0,1575597904382,1575597907128,2746,24,4220,1575597904382,1575597907128,2746,13,3272,1575597904412,1575597907106,2694,11,948,"EthernetIP","Network",0,6,"","","","",""
5,0,"192.168.1.60","00:1d:9c:c7:fa:2d","00:1d:9c",59072,"192.168.1.10","00:1d:9c:c8:bd:e7","00:1d:9c",44818,6,4,0,0,1575597904383,1575597907139,2756,440,41816,1575597904383,1575597907139,2756,220,19396,1575597904384,1575597907139,2755,220,22420,"EthernetIP","Network",0,6,"","","","",""
6,0,"192.168.1.30","00:1d:9c:c8:bd:f2","00:1d:9c",2222,"192.168.1.60","00:1d:9c:c7:fa:2d","00:1d:9c",2222,17,4,1,0,1575597904384,1575597907144,2760,274,24660,1575597904384,1575597907144,2760,274,24660,0,0,0,0,0,"EthernetIP","Network",0,6,"","","","",""
7,0,"192.168.1.30","00:1d:9c:c8:bd:f2","00:1d:9c",44818,"192.168.1.100","00:1d:9c:c6:72:e8","00:1d:9c",49401,6,4,0,0,1575597904374,1575597907113,2739,39,5047,1575597904374,1575597907113,2739,23,3493,1575597904411,1575597907106,2695,16,1554,"EthernetIP","Network",0,6,"","","","",""
8,0,"192.168.1.30","00:1d:9c:c8:bd:f2","00:1d:9c",60704,"192.168.1.20","00:1d:9c:c8:bc:46","00:1d:9c",44818,6,4,0,0,1575597904374,1575597907149,2775,1294,117824,1575597904374,1575597907149,2775,647,60252,1575597904374,1575597907149,2775,647,57572,"EthernetIP","Network",0,6,"","","","",""
9,0,"192.168.1.40","00:1d:9c:c7:fa:2c","00:1d:9c",44818,"192.168.1.50","00:1d:9c:c8:f4:b9","00:1d:9c",63084,6,4,1,0,1575597904377,1575597907147,2770,804,77676,1575597904377,1575597907147,2770,402,39316,1575597904377,1575597907147,2770,402,38360,"EthernetIP","Network",0,6,"","","","",""
10,0,"192.168.1.50","00:1d:9c:c8:f4:b9","00:1d:9c",44818,"192.168.1.20","00:1d:9c:c8:bc:46","00:1d:9c",60936,6,4,0,0,1575597904382,1575597907149,2767,1044,99196,1575597904382,1575597907149,2767,522,53224,1575597904382,1575597907149,2767,522,45972,"EthernetIP","Network",0,6,"","","","",""
11,0,"192.168.1.50","00:1d:9c:c8:f4:b9","00:1d:9c",44818,"192.168.1.100","00:1d:9c:c6:72:e8","00:1d:9c",49875,6,4,1,0,1575597904382,1575597907128,2746,24,4316,1575597904382,1575597907128,2746,13,3324,1575597904412,1575597907106,2694,11,992,"EthernetIP","Network",0,6,"","","","",""
12,0,"192.168.1.60","00:1d:9c:c7:fa:2d","00:1d:9c",59072,"192.168.1.10","00:1d:9c:c8:bd:e7","00:1d:9c",44818,6,4,1,0,1575597904383,1575597907139,2756,440,43576,1575597904383,1575597907139,2756,220,20276,1575597904384,1575597907139,2755,220,23300,"EthernetIP","Network",0,6,"","","","",""
13,0,"192.168.1.40","00:1d:9c:c7:fa:2c","00:1d:9c",44818,"192.168.1.20","00:1d:9c:c8:bc:46","00:1d:9c",60892,6,4,0,0,1575597904387,1575597907147,2760,338,32140,1575597904387,1575597907147,2760,169,17260,1575597904387,1575597907147,2760,169,14880,"EthernetIP","Network",0,6,"","","","",""
14,0,"192.168.1.50","00:1d:9c:c8:f4:b9","00:1d:9c",44818,"192.168.1.40","00:1d:9c:c7:fa:2c","00:1d:9c",59170,6,4,0,0,1575597904392,1575597907146,2754,1018,89628,1575597904392,1575597907146,2754,509,44772,1575597904392,1575597907146,2754,509,44856,"EthernetIP","Network",0,6,"","","","",""
15,0,"192.168.1.30","00:1d:9c:c8:bd:f2","00:1d:9c",61082,"192.168.1.40","00:1d:9c:c7:fa:2c","00:1d:9c",44818,6,4,0,0,1575597904375,1575597907133,2758,666,64100,1575597904375,1575597907133,2758,333,29952,1575597904375,1575597907132,2757,333,34148,"EthernetIP","Network",0,6,"","","","",""
16,0,"192.168.1.20","00:1d:9c:c8:bc:46","00:1d:9c",44818,"192.168.1.60","00:1d:9c:c7:fa:2d","00:1d:9c",59074,6,4,0,0,1575597904376,1575597907123,2747,354,33660,1575597904376,1575597907123,2747,177,18076,1575597904376,1575597907123,2747,177,15584,"EthernetIP","Network",0,6,"","","","",""
17,0,"192.168.1.30","00:1d:9c:c8:bd:f2","00:1d:9c",44818,"192.168.1.20","00:1d:9c:c8:bc:46","00:1d:9c",60318,6,4,1,0,1575597904379,1575597907148,2769,1038,101108,1575597904379,1575597907148,2769,519,53408,1575597904379,1575597907148,2769,519,47700,"EthernetIP","Network",0,6,"","","","",""
18,0,"192.168.1.30","00:1d:9c:c8:bd:f2","00:1d:9c",44818,"192.168.1.40","00:1d:9c:c7:fa:2c","00:1d:9c",59138,6,4,0,0,1575597904379,1575597907147,2768,1440,135474,1575597904379,1575597907147,2768,720,72460,1575597904379,1575597907147,2768,720,63014,"EthernetIP","Network",0,6,"","","","",""
19,0,"192.168.1.10","00:1d:9c:c8:bd:e7","00:1d:9c",2222,"192.168.1.30","00:1d:9c:c8:bd:f2","00:1d:9c",2222,17,4,0,0,1575597904380,1575597907145,2765,273,23478,1575597904380,1575597907145,2765,273,23478,0,0,0,0,0,"EthernetIP","Network",0,6,"","","","",""
20,0,"192.168.1.10","00:1d:9c:c8:bd:e7","00:1d:9c",2222,"192.168.1.20","00:1d:9c:c8:bc:46","00:1d:9c",2222,17,4,1,0,1575597904380,1575597907145,2765,273,24570,1575597904380,1575597907145,2765,273,24570,0,0,0,0,0,"EthernetIP","Network",0,6,"","","","",""
21,0,"192.168.1.30","00:1d:9c:c8:bd:f2","00:1d:9c",61088,"192.168.1.60","00:1d:9c:c7:fa:2d","00:1d:9c",44818,6,4,1,0,1575597904384,1575597907148,2764,972,94554,1575597904384,1575597907148,2764,486,45566,1575597904384,1575597907148,2764,486,48988,"EthernetIP","Network",0,6,"","","","",""
22,0,"192.168.1.100","00:1d:9c:c6:72:e8","00:1d:9c",49859,"192.168.1.60","00:1d:9c:c7:fa:2d","00:1d:9c",44818,6,4,0,0,1575597904411,1575597907111,2700,32,3529,1575597904411,1575597907106,2695,14,1338,1575597904411,1575597907111,2700,18,2191,"EthernetIP","Network",0,6,"","","","",""
23,0,"192.168.1.100","00:1d:9c:c6:72:e8","00:1d:9c",49405,"192.168.1.10","00:1d:9c:c8:bd:e7","00:1d:9c",44818,6,4,0,0,1575597904412,1575597907109,2697,38,4060,1575597904412,1575597907106,2694,16,1554,1575597904412,1575597907109,2697,22,2506,"EthernetIP","Network",0,6,"","","","",""
